"","disp_ali_kcal_pers_day","disp_ali_prot_g_pers_day","prop_ani_disp_ali","evolution_pop_2015_2016","gdp_inhab","index_stab_pol","distance_fr_km","index_risk_country"
"G 1",2359.51282051282,59.05,22.5174358974359,2.42692307692308,1151.45975928205,-0.912307692307692,5880.94351478043,6.38461538461539
"G 2",2785.23913043478,78.5330434782609,45.7991304347826,1.06608695652174,9841.6537568913,0.129782608695652,9434.70105051629,5.04347826086957
"G 3",3135.76923076923,94.1007692307692,51.8369230769231,-0.200384615384615,12161.8955868462,0.21,1759.66995284282,3.96153846153846
"G 4",3119.11764705882,90.2558823529412,35.4211764705882,2.17823529411765,5790.59989,-0.759411764705882,3741.79791842571,6.11764705882353
"G 5",3470.42857142857,110.417619047619,60.2528571428571,0.814761904761905,50335.9588763333,0.686190476190476,2297.04758537833,2
